,Price,Date
5751,79.05,2010-01
5770,71.58,2010-02
5789,76.07,2010-03
5812,82.63,2010-04
5833,88.09,2010-05
5853,73.08,2010-06
5875,71.73,2010-07
5896,81.93,2010-08
5918,75.53,2010-09
5939,82.69,2010-10
5960,84.06,2010-11
5981,88.56,2010-12
6003,95.82,2011-01
6023,100.4,2011-02
6042,113.34,2011-03
6065,118.63,2011-04
6083,126.64,2011-05
6104,116.15,2011-06
6126,109.82,2011-07
6146,116.37,2011-08
6168,116.43,2011-09
6189,103.61,2011-10
6210,106.97,2011-11
6231,108.83,2011-12
6251,111.12,2012-01
6271,111.96,2012-02
6291,125.76,2012-03
6313,124.44,2012-04
6331,119.57,2012-05
6352,98.63,2012-06
6373,95.28,2012-07
6394,106.78,2012-08
6417,114.98,2012-09
6436,112.58,2012-10
6459,108.84,2012-11
6480,111.27,2012-12
6500,112.98,2013-01
6521,115.55,2013-02
6540,110.14,2013-03
6560,108.76,2013-04
6582,98.34,2013-05
6604,101.63,2013-06
6624,103.19,2013-07
6646,109.94,2013-08
6668,115.49,2013-09
6688,107.32,2013-10
6711,105.78,2013-11
6731,111.49,2013-12
6752,107.94,2014-01
6774,106.55,2014-02
6793,111.26,2014-03
6814,105.7,2014-04
6835,108.63,2014-05
6857,109.34,2014-06
6878,110.84,2014-07
6900,103.45,2014-08
6921,100.21,2014-09
6942,94.57,2014-10
6965,84.9,2014-11
6984,70.87,2014-12
7006,55.38,2015-01
7026,51.74,2015-02
7046,60.75,2015-03
7068,55.73,2015-04
7089,64.13,2015-05
7109,62.87,2015-06
7131,61.65,2015-07
7154,49.49,2015-08
7174,48.8,2015-09
7196,47.48,2015-10
7218,47.91,2015-11
7239,42.97,2015-12
7261,36.28,2016-01
7281,32.45,2016-02
7301,35.73,2016-03
7323,36.42,2016-04
7344,45.82,2016-05
7365,48.81,2016-06
7387,47.65,2016-07
7408,40.17,2016-08
7431,45.05,2016-09
7453,48.61,2016-10
7474,45.77,2016-11
7496,52.28,2016-12
7516,55.05,2017-01
7537,55.79,2017-02
7557,55.72,2017-03
7580,52.04,2017-04
7599,50.41,2017-05
7622,50.41,2017-06
7644,49.13,2017-07
7665,50.77,2017-08
7688,53.15,2017-09
7709,55.67,2017-10
7731,60.98,2017-11
7753,64.57,2017-12
7772,66.65,2018-01
7794,68.6,2018-02
7814,64.23,2018-03
7835,69.02,2018-04
7855,74.85,2018-05
7876,74.54,2018-06
7897,76.71,2018-07
7919,72.28,2018-08
7942,77.81,2018-09
7962,84.94,2018-10
7985,71.25,2018-11
8007,60.17,2018-12
8024,54.06,2019-01
8046,61.86,2019-02
8066,63.71,2019-03
8087,69.08,2019-04
8108,72.01,2019-05
8130,63.16,2019-06
8150,65.1,2019-07
8173,62.9,2019-08
8195,58.55,2019-09
8216,60.06,2019-10
8239,60.17,2019-11
8260,63.2,2019-12
8282,67.77,2020-01
8305,54.0,2020-02
8325,52.52,2020-03
8347,14.97,2020-04
